ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_440,Cc1c(O)ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c1O,-9.01492394032389,-6.143460682050096,-6.13339695117585,-4.59082373653644,-5.079992395794879,-2.699313200902675,-2.3188009303855006,-2.648085409215206,-4.635243670045287,-5.882338488265827,0
b2AR-decoy_2065,Cc1cc(C)c2c(O)nc(SCC(=O)c3ccc(C(C)C)cc3)nc2n1,-9.00979006660362,-6.659809928246915,-7.022347690952731,-4.86894446204702,-5.780721695915439,-3.794283431720535,-4.267115080423791,-3.806400309900617,-4.828206623710367,-5.373215545707007,0
b2AR-decoy_2024,O=C(NNC(=O)c1ccccc1OCc1ccccc1)c1ccccc1O,-9.00273390247562,-6.390647959785005,-6.368296869657712,-4.02767183210072,-4.751371922198598,-4.168932724889595,-4.0441351774596015,-2.4269339212863965,-4.340950133288106,-4.365742647646597,0
b2AR-decoy_2657,CCC(F)(CC)c1nc(COc2cc(OC)cc3oc(c4cn5nc(OC)sc5n4)cc23)cs1,-8.99472486529168,-4.135713147184985,-5.748054052344202,-3.1800027370130195,-4.767361534684079,-0.7850510194007949,-2.850598494443581,0.1153697251814334,-4.055893552980146,-3.2190505668415867,0
b2AR-decoy_2886,Cc1c(N2Cc3ccccc3C2=O)cccc1c1ccc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c21,-8.98705056592352,-5.631323997099376,-4.688360219083092,-4.680715286374889,-4.453589603897049,-3.9908578057928334,-3.936857224770211,-2.942299041237937,-5.670407653094486,-5.552000804270316,0
b2AR-decoy_869,O=C(/C=C/c1ccc(Oc2ccccc2)cc1)c1ccccc1O,-8.96550442724158,-4.192528860416475,-6.168187540411861,-4.39341641721429,-5.570565883020979,-1.8697964584083948,-3.370509730020151,-2.976243696848117,-2.642753358392106,-5.0369784271229765,0
b2AR-decoy_754,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(F)c(F)c3)c2O)O1,-8.95888835940105,-6.045748415535785,-5.696394335969031,-4.04774498932882,-2.9025468093324287,-0.9420858368884844,-3.497344059260981,-3.868705676660437,-3.811601876092416,-4.675874796854767,0
b2AR-decoy_60,O=C(Nc1nnc(c2ccc3c(c2)CCCC3)o1)c1ccc(Cl)cc1Cl,-8.9516069855541,-5.238519022189615,-5.916453102465911,-4.356943598794469,-4.460521024277289,-0.7488527583136744,-4.152364782901351,-2.772751142552517,-3.936394195432336,-5.224100602689687,0
b2AR-decoy_926,CC1CCC(=NNc2nc(c3ccc4ccccc4c3)cs2)CC1,-8.93407053689562,-6.6022136122718855,-5.814204829822531,-4.38966358447457,-4.782538882853879,-4.166830928197834,-4.41511069479203,-3.3295147654259667,-3.954396776768596,-5.541964924512207,0
b2AR-decoy_1211,C/C(=N/Nc1nc(c2ccc(Cl)cc2)cs1)c1nccs1,-8.92693324729279,-5.219405039961925,-6.169895073992061,-4.58491755716904,-4.339213912640658,-2.401086955026365,-4.107425312709601,-2.9472838463489968,-4.160769793616026,-4.919892440212916,0
b2AR-decoy_203,COc1cc(/C=C/C(=O)/C(=N\Nc2ccc([N+](=O)[O-])cc2)C(=O)C(Br)C(Br)c2ccc(O)c(OC)c2)ccc1O,-8.90934792618361,-6.622461503524775,-6.213858810104261,-5.19570481090242,-5.061747451189298,-4.300373602412444,-4.234503621900201,-4.916044200931838,-4.455578641102217,-4.733546882226907,0
b2AR-decoy_2097,C/C(=N\NC(=S)NCCc1c[nH]c2ccccc12)c1ccc(Cl)cc1,-8.90716382449768,-3.4890071413692656,-3.330807672954471,-4.061978356613619,-3.1648212617229285,-1.9124952827580648,-1.361453843491511,-2.7634129416295465,-2.245436174653636,-3.211425272691867,0
b2AR-decoy_1087,C[C@]12CC[C@@H]3[C@H]4CC/C(=N\Oc5ccc([N+](=O)[O-])cc5)C[C@@H]4CC[C@H]3[C@@H]1CC[C@@H]2O,-8.90697830767049,-6.138418620889086,-4.8183399629237815,-3.91660921005903,-3.6029760604387375,-4.201036480961985,-3.5941830573722218,-1.8931353919735767,-3.0203456383488563,-5.384140991302436,0
b2AR-decoy_2537,Clc1ccc(c2csc(N/N=C(/Cn3cncn3)c3ccc(Br)cc3)n2)cc1,-8.90548967624607,-4.098707316423735,-5.447493377289781,-4.007522844795759,-4.418042281865898,-3.8946169914979647,-3.234815399519701,-2.4161391781528865,-3.6137244948775367,-4.640231770476007,0
b2AR-decoy_2767,C[C@](O)(c1ccc(S(=O)(=O)c2ccc(c3ccc(C#N)cc3)cc2C2CC2)cc1)C(F)(F)F,-8.89889405275327,-7.031895736191045,-5.817362481842921,-4.99902039991024,-4.914781135609918,-5.235457716191865,-3.7696266163785417,-4.627450252880227,-4.5211548488989965,-4.890501043655837,0
