ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_2809,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)C3=C(OC(C)(C)[C@@H](O)C3)[C@@]1(C(=O)c1ccccc1)C2=O,-6.32,-6.733633728738218,-5.576618195096406,-6.835552545637031,-4.453700306037417,-4.030024196616026,-3.169118738656839,-5.734438950327563,-4.1299519609142745,0
M2R-decoy_281,O=C1Nc2ccc(I)cc2C1=O,-7.799,-7.157633728738219,-7.168618195096406,-5.71655254563703,-5.170700306037418,-5.834024196616026,-5.337118738656839,-3.7004389503275625,-4.760951960914275,0
M2R-decoy_2810,Cc1ccc(Cn2cc(CNC(=O)c3cnc(Nc4ccc(C#N)cc4)cc3Oc3c(C)cc(C)cc3C)nn2)cc1,-11.394,-8.442633728738219,-10.134618195096406,-9.47355254563703,-8.458700306037418,-8.510024196616026,-6.977118738656838,-7.573438950327564,-8.054951960914275,0
M2R-decoy_2811,O=C(O[C@@H](Cc1c(Cl)c[n+]([O-])cc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1)[C@H]1CCCN1S(=O)(=O)c1ccccc1,-9.352,-8.282633728738219,-8.209618195096406,-8.32555254563703,-6.553700306037418,-5.238024196616026,-5.435118738656838,-6.365438950327564,-6.459951960914275,0
M2R-decoy_2812,CCn1c(SCC(=O)Nc2oc(c3ccccc3)c(c3ccccc3)c2C#N)nnc1c1cc(OC)cc(OC)c1,-10.016,-9.443633728738218,-9.602618195096406,-8.11855254563703,-7.645700306037417,-6.134024196616026,-6.493118738656838,-7.775438950327564,-7.522951960914275,0
M2R-decoy_2813,COCCN(CCOC)c1nc(C)nc2c(c3ccc(Br)cc3Cl)c(C)nn12,-8.543,-8.431633728738218,-7.338618195096407,-6.57455254563703,-5.584700306037417,-5.785024196616026,-5.462118738656839,-4.920438950327563,-5.714951960914274,0
M2R-decoy_2814,COCc1cc(OC)c(c2csc3c(N(CC4CC4)C4CCOCC4)c(OC)nn32)c(OC)c1,-6.77,-5.887633728738218,-6.368618195096406,-6.09855254563703,-4.6407003060374175,-4.069024196616026,-4.711118738656839,-5.570438950327563,-3.9279519609142746,0
M2R-decoy_2815,Cc1c(CCOCCCO[N+](=O)[O-])cc(c2ccc(S(C)(=O)=O)cc2)n1c1ccc(F)cc1,-9.142,-7.976633728738218,-9.023618195096406,-7.00255254563703,-5.427700306037417,-5.359024196616026,-4.530118738656839,-5.831438950327563,-6.830951960914275,0
M2R-decoy_2816,CCCc1cc(N2CCOCC2)nn2c(CCC)c(C(=O)OCC)c(C(=O)OCC)c12,-8.737,-7.401633728738219,-7.778618195096406,-6.59255254563703,-5.019700306037418,-5.896024196616026,-3.6491187386568384,-5.213438950327562,-6.4119519609142746,0
M2R-decoy_2817,CCc1nc2ccc(C(=O)N3CCN(c4ccccc4)CC3)cn2c1N(C)CCCc1ccccc1,-10.467,-10.05463372873822,-9.903618195096406,-9.04255254563703,-8.514700306037417,-7.560024196616025,-7.596118738656839,-7.309438950327562,-6.591951960914274,0
